ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
823;Piovà Massaia;piova-massaia;450.536;80.492;5;86;5086;0;0
824;Portacomaro;portacomaro;449.582;82.576;5;87;5087;0;0
825;Quaranti;quaranti;44.751;8.45;5;88;5088;0;0
826;Refrancore;refrancore;449.365;83.438;5;89;5089;0;0
827;Revigliasco d'Asti;revigliasco-dasti;44.859;81.586;5;90;5090;0;0
828;Roatto;roatto;449.524;8.027;5;91;5091;0;0
829;Robella;robella;451.014;81.028;5;92;5092;0;0
830;Rocca d'Arazzo;rocca-darazzo;448.721;82.848;5;93;5093;0;0
831;Roccaverano;roccaverano;445.925;8.272;5;94;5094;0;0
832;Rocchetta Palafea;rocchetta-palafea;447.077;83.437;5;95;5095;0;0
833;Rocchetta Tanaro;rocchetta-tanaro;448.596;83.448;5;96;5096;0;0
834;San Damiano d'Asti;san-damiano-dasti;448.347;8.065;5;97;5097;0;0
835;San Giorgio Scarampi;san-giorgio-scarampi;446.122;82.419;5;98;5098;0;0
836;San Martino Alfieri;san-martino-alfieri;448.182;81.092;5;99;5099;0;0
837;San Marzano Oliveto;san-marzano-oliveto;447.543;82.959;5;100;5100;0;0
838;San Paolo Solbrito;san-paolo-solbrito;449.517;79.719;5;101;5101;0;0
839;Scurzolengo;scurzolengo;449.657;82.788;5;103;5103;0;0
840;Serole;serole;445.546;82.601;5;104;5104;0;0
841;Sessame;sessame;446.712;83.374;5;105;5105;0;0
842;Settime;settime;449.632;81.138;5;106;5106;0;0
843;Soglio;soglio;449.974;80.795;5;107;5107;0;0
844;Tigliole;tigliole;448.866;80.767;5;108;5108;0;0
845;Tonco;tonco;450.248;81.909;5;109;5109;0;0
846;Tonengo;tonengo;451.188;80.019;5;110;5110;0;0
847;Vaglio Serra;vaglio-serra;447.974;8.34;5;111;5111;0;0
848;Valfenera;valfenera;44.903;79.674;5;112;5112;0;0
849;Vesime;vesime;446.361;82.283;5;113;5113;0;0
850;Viale;viale;450.011;80.502;5;114;5114;0;0
851;Viarigi;viarigi;449.813;8.358;5;115;5115;0;0
852;Vigliano d'Asti;vigliano-dasti;44.835;82.303;5;116;5116;0;0
853;Villafranca d'Asti;villafranca-dasti;44.913;80.328;5;117;5117;0;0
854;Villanova d'Asti;villanova-dasti;449.422;79.377;5;118;5118;0;0
855;Villa San Secondo;villa-san-secondo;450.049;8.135;5;119;5119;0;0
856;Vinchio;vinchio;44.812;8.322;5;120;5120;0;0
857;Montiglio Monferrato;montiglio-monferrato;450.662;80.985;5;121;5121;0;0
858;Acqui Terme;acqui-terme;446.755;84.707;6;1;6001;0;0
859;Albera Ligure;albera-ligure;447.032;9.066;6;2;6002;0;0
860;Alessandria;alessandria;449.132;8.617;6;3;6003;1;0
861;Alfiano Natta;alfiano-natta;450.476;82.083;6;4;6004;0;0
862;Alice Bel Colle;alice-bel-colle;44.727;84.519;6;5;6005;0;0
863;Alluvioni Cambiò;alluvioni-cambio;450.024;87.963;6;6;6006;0;0
864;Altavilla Monferrato;altavilla-monferrato;449.945;8.377;6;7;6007;0;0
865;Alzano Scrivia;alzano-scrivia;450.191;88.817;6;8;6008;0;0
866;Arquata Scrivia;arquata-scrivia;44.688;88.857;6;9;6009;0;0
